node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration
3,2,6,1.1114762627652883,-5.231064690603352,2505292,-5.231064698302048,146458
31,16,8,3.8644258452708944,-78.10082703318382,5565416,-78.10082659109868,1854625
97,49,2,5.1827157447367185,-229.9990714125698,788041,-229.99904657999065,1083084
13,7,7,4.798926354181188,-33.756578017722205,3969667,-33.756579038094216,846666
5,3,4,0.6785249893489447,-1.4457158185624062,815708,-1.4457158240952406,107916
911,456,2,5.469292921708293,-2810.023570537545,2041375,-2810.0234941972744,8105917
8907,4454,10,5.241943263787883,-43689.86624124185,42354500,-43689.865714766966,701196458
215,108,10,5.233027371235749,-659.1905564450309,9129833,-659.1905702893717,18031958
7,4,8,0.7780129771549363,-12.019056721007392,2166209,-12.019056722251136,339167
9,5,9,2.327343173518035,-18.949774086895466,5628084,-18.94977398939399,859750
921,461,4,4.818738871638686,-3201.8564187457414,2099584,-3201.8563762306685,12316166
3,2,7,0.7861969834385986,-2.2023860305266463,1760292,-2.20238603546859,152500
49,25,2,3.926196184996498,-66.61702235838297,539625,-66.61702213661495,403750
37,19,2,1.7301847317573031,-38.12256701479298,334333,-38.12256717949063,279500
3,2,7,0.7775738550085723,-2.9471365172223516,1668750,-2.947136517740484,159209
3,2,6,0.5764792070576841,-3.4008707574074903,1251625,-3.4008707583666102,117208
3,2,4,0.47677972764198945,-0.5994711597306046,615542,-0.5994711610793764,69375
387,194,2,3.6367233814626423,-989.0070483265829,804083,-989.0070277799217,2745459
17,9,7,4.421085098716366,-37.735116657906865,3147208,-37.73511836517543,815291
3,2,9,0.7670175242175528,-4.729339383970316,2800750,-4.729339382796574,238709
3,2,2,1.4760181458869186,-2.124029977281538,308042,-2.1240302948361363,49083
3,2,7,0.8386337060381157,-1.848271937775162,1795833,-1.8482719441983777,178708
15,8,7,4.0025729792339515,-36.956549862878916,2837250,-36.95655001941577,825708
225,113,3,2.8426290156691243,-492.658194847181,859375,-492.65817498027195,2240041
259,130,10,5.370392939467302,-872.0892479440304,8497417,-872.0892533129986,21375209
11,6,2,1.6173002427089396,-9.586157666759268,343041,-9.586157713813629,108500
46651,23326,2,5.163152143404838,-217183.10896530168,61785625,-217183.10254707467,374783291
25,13,6,5.355503164506732,-57.17613031390614,3204916,-57.176129580734184,816459
7,4,2,2.711775255187019,-9.619807931316192,404125,-9.619807982144131,91958
3,2,6,0.49796347952958603,-0.12201542224739331,1462583,-0.12201542328798243,154417
3,2,4,3.757653573905806,-6.545444294948085,1107042,-6.545444214697364,122125
31,16,3,4.2104244386036145,-60.9727176321536,767125,-60.972716301535385,393875
1889,945,5,5.044545456502874,-7053.152431176692,5400708,-7053.1524335210215,37284167
3,2,10,1.035417749013566,-6.2975701024963175,4407917,-6.297570105977492,344250
35,18,2,4.937808524507572,-64.83438582651374,633958,-64.83438628860114,330709
261,131,4,5.4461081191341005,-752.6011730130568,1656833,-752.6011614021179,4077125
37,19,10,3.457032212541421,-93.55664295377782,6937125,-93.55664241411642,3657250
3,2,7,0.2509490138895955,-4.12528584939973,2025333,-4.125285849403899,140500
55,28,4,5.416560446279049,-144.40239779538012,1261000,-144.40239726537715,1057459
3,2,2,4.787653119082366,-9.390225544181982,621125,-9.390225472523364,71292
3,2,9,1.0195607232235473,-4.829337736412315,3691667,-4.829337748443011,314458
435,218,5,5.274559380668292,-1403.0594739226603,2821791,-1403.0594427141027,9509542
5,3,5,0.2514447683099916,-5.166598185942061,1109792,-5.166598185945049,105000
3,2,4,2.3614015382310005,-6.458294740032803,10366459,-6.458294573668338,134833
25,13,3,5.314785814171734,-53.564101142314236,947875,-53.564100602619604,357750
17,9,6,4.292865546163387,-39.04055425311768,2734292,-39.04055419859473,592291
3,2,10,0.6724159322951099,-4.965649699693511,4150125,-4.9656497012132945,341458
377,189,5,5.0558937914005195,-1142.1663183700107,2238459,-1142.1663160010417,7332542
313,157,10,3.3941636570140075,-1053.2623652591913,7451500,-1053.2623823295885,26877625
13,7,8,1.6805236123934628,-23.421689588599154,5743625,-23.42168962848904,795666
33,17,8,1.629194957230439,-55.439069500867134,5851083,-55.43907821906724,1513667
9,5,9,2.112458628301716,-19.634118173530855,8478375,-19.634118184144217,1066167
3,2,6,1.7049640228802438,-7.768287756984562,3067834,-7.768287749305184,184875
53,27,5,3.2927385293129854,-111.82852005798362,2078875,-111.82851326267885,1255875
3,2,5,1.3344308785400418,-2.61699137301924,1295209,-2.6169915827296517,108125
73,37,5,4.192793386972693,-181.30962648082723,2054041,-181.30962534939994,1696584
3,2,3,0.1637201624723309,-0.7636812858562386,615167,-0.7636812858569141,61833
5,3,3,2.9795803152512534,-5.897009613654566,734417,-5.897009598479837,100250
3,2,6,1.032152653539923,-6.156422095507628,1811500,-6.156422088005048,152500
3,2,10,3.207837482763146,-10.62710233746942,7589333,-10.627102640377938,502625
389,195,4,5.425190695463124,-1214.1774716179655,1876042,-1214.1774383052984,6053875
5,3,9,5.2379711710964925,-10.318710415623958,6886625,-10.318710409323987,614333
111,56,8,5.34488555972248,-322.3648600328048,5352000,-322.36486587095897,5813292
55,28,7,5.328102105609156,-152.97664446628227,4186000,-152.97664502140478,2264500
71,36,10,4.476031834068582,-203.78496180675523,8115333,-203.78496217438862,6542708
5,3,8,1.4383020692351958,-7.9574286877807925,2896792,-7.9574287225617475,271667
19,10,10,3.715414998511919,-48.3883871916269,7038916,-48.388387349661876,1779833
49,25,6,3.57491709592096,-107.13383472694667,2513208,-107.13383320744916,1422917
9,5,3,3.6206422456057274,-15.061554999898753,720208,-15.061554892020107,146000
11,6,2,1.6613716413554922,-8.446520688994175,395834,-8.446520736064443,110416
5,3,5,2.085422540998244,-6.473763937420675,1175125,-6.47376402132324,135583
3,2,2,0.6856051184993692,-2.5671825168130438,375666,-2.5671825172073066,48875
11,6,2,5.395087327937799,-22.561334319759382,633750,-22.56133421729328,128416
