node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration
11,6,2,1.4099855956995442,-12.420870897679306,442625,-12.420871068781018,145000
65,33,2,5.4867495089974945,-132.3041458344274,860083,-132.30417747301155,683042
235,118,4,3.3880956436797924,-590.4034511187648,1896750,-590.4034376827465,3602542
3,2,6,0.11003279898584983,-0.8837994695919363,1475167,-0.8837994695919452,109083
5,3,3,2.3852050525328488,-7.031042223572463,708583,-7.031042327851043,96667
3,2,6,1.5216940000968502,-5.545572044399721,1936791,-5.545572052745795,215417
25,13,3,3.4111188184999595,-35.86222577869879,1056250,-35.862226170801975,346209
3,2,6,1.2121369514969547,-4.198362795234788,1746834,-4.19836278197608,188500
3,2,4,1.5316022202895425,-3.529638872605784,2004167,-3.5296388831075025,87792
61,31,3,5.418342881352331,-149.8479622749354,1136750,-149.84796581931573,787834
5,3,6,1.5293764855460086,-5.561844149929302,1746916,-5.561844463503796,209125
5,3,5,3.835550194709469,-8.86814587103682,1589167,-8.868146478265151,211792
3,2,4,5.3174729487597805,-9.265248071718398,1362000,-9.265249055568006,140250
5,3,5,0.7684287559046958,-5.390290000156545,928791,-5.390290002783958,114625
5,3,7,1.4234940136744858,-8.940011803799656,2455375,-8.94001231604437,314958
33,17,3,4.019615537972745,-73.9847208929851,890209,-73.98471955612777,553750
5,3,7,0.9422826403393953,-3.2466345053149146,2261834,-3.246634504496207,209375
3,2,4,0.9924441603056839,-1.2913663515788296,874458,-1.291366361477908,83084
33,17,6,1.9441203298284981,-57.881374260764545,2338000,-57.88137420571129,1023542
5,3,2,2.6261871082773345,-5.92025398308466,409542,-5.920253984919588,79333
5,3,9,2.115674996526664,-8.429792895324834,4623166,-8.429793010714471,551167
3,2,10,1.009887466726136,-5.667446159669563,4635334,-5.667446154087191,388875
13,7,4,2.8432165128612157,-25.657169939932533,1032875,-25.6571698489811,299542
63,32,5,4.169594762678368,-160.17613152681247,1718042,-160.1761375877382,1604791
5,3,4,1.77967537025675,-14.014283101003755,810750,-14.014283245972463,123625
25,13,6,4.679236602733842,-61.09923541906679,2530375,-61.099235007188355,809250
41,21,7,3.128307572163638,-103.15911706050709,3676042,-103.15911614852367,1643042
