node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration,use_intervals,min_num_intervals,integrator,initialMatrixType,rel_tolerance
5,3,3,3.0622418712069055,-13.31956105903395,962708,-13.319561109353184,446375,false,1,DormandPrince54Integrator,RANDOM,5.076736368441463E-7
3,2,6,2.711064703275195,-7.602574117678895,908458,-7.602574484742659,745167,false,1,DormandPrince54Integrator,RANDOM,2.1016786010253842E-6
19,10,4,3.0127405609988207,-31.8327270254545,485000,-31.832724774585376,1847375,false,1,DormandPrince54Integrator,RANDOM,7.537065680493366E-7
15,8,8,3.179177754257327,-36.672607680711664,1680458,-36.672607675944235,3131500,false,1,DormandPrince54Integrator,RANDOM,2.5820164134048674E-9
3,2,6,3.6790361721205844,-8.945366435911286,1651792,-8.945365708755332,730333,false,1,DormandPrince54Integrator,RANDOM,2.394274631536529E-6
27,14,6,3.9203492523713495,-72.71860047161978,1001209,-72.71859850734603,3533083,false,1,DormandPrince54Integrator,RANDOM,3.417003449930769E-7
37,19,8,3.725809875886639,-92.76228191825959,2814542,-92.76228197004355,6992500,false,1,DormandPrince54Integrator,RANDOM,2.0597765145559657E-9
9,5,5,3.4146767545078776,-18.966908602114867,507167,-18.966913834126448,903125,false,1,DormandPrince54Integrator,RANDOM,4.042050299427837E-6
515,258,3,4.667837679711025,-1468.2594710530452,1724750,-1468.2593935169452,21021666,false,1,DormandPrince54Integrator,RANDOM,6.666702485795621E-8
3,2,10,0.6563554675081362,-4.143879725781899,4282834,-4.143879731011831,669125,false,1,DormandPrince54Integrator,RANDOM,9.023188354466856E-8
7,4,10,1.3264958243016562,-9.548369330730008,1074500,-9.548369359071696,1449583,false,1,DormandPrince54Integrator,RANDOM,9.891379071506466E-6
7,4,3,0.9584828200017664,-3.8097405440598164,254375,-3.8097405462978537,431666,false,1,DormandPrince54Integrator,RANDOM,6.986240385015812E-7
13,7,9,1.6502894524872684,-18.488709895360035,759416,-18.488710107027295,1607459,false,1,DormandPrince54Integrator,RANDOM,1.5702147006964532E-7
1359,680,2,3.7652473824763,-4248.766207515723,2309541,-4248.766194955556,42375458,false,1,DormandPrince54Integrator,RANDOM,1.7956421579565854E-8
9,5,8,1.0166802113054474,-12.638928979827494,713125,-12.638928979757162,782125,false,1,DormandPrince54Integrator,RANDOM,3.248650684548548E-7
23,12,5,3.5433736177762976,-43.55114186411403,412667,-43.55114884841424,1435416,false,1,DormandPrince54Integrator,RANDOM,5.4182837696773495E-6
3,2,8,3.979873707980447,-10.952693175704445,644625,-10.9526955647905,583708,false,1,DormandPrince54Integrator,RANDOM,2.9205527709134933E-6
321,161,4,3.3466015918035863,-832.5585794930565,1299250,-832.5585755970461,13401083,false,1,DormandPrince54Integrator,RANDOM,2.1428035498249714E-8
5,3,4,2.9154434649594787,-9.127538204426298,343458,-9.127538320150332,394833,false,1,DormandPrince54Integrator,RANDOM,1.5848702025264518E-7
551,276,2,4.004072420000771,-1466.5438246574977,1196833,-1466.5437850058306,16023333,false,1,DormandPrince54Integrator,RANDOM,1.4526460522443215E-7
3,2,7,0.08950806766194475,-0.7434265318678918,483667,-0.7434265318678984,327291,false,1,DormandPrince54Integrator,RANDOM,6.783921128872338E-6
3,2,4,1.0524651432177234,-7.919251561446972,301541,-7.919251577689798,245375,false,1,DormandPrince54Integrator,RANDOM,6.045370533805655E-9
3,2,10,2.502891846644342,-6.491907380968302,865083,-6.491907294753506,803708,false,1,DormandPrince54Integrator,RANDOM,3.7068128301595527E-7
111,56,3,3.7390600367114644,-258.43385506695506,443250,-258.43381236444236,5145041,false,1,DormandPrince54Integrator,RANDOM,3.2843584333250452E-6
29,15,5,2.8628940593757664,-65.86708759107285,393750,-65.86709621738416,1895500,false,1,DormandPrince54Integrator,RANDOM,7.993157951024955E-7
127,64,10,4.842520761663115,-385.91559352220725,2285125,-385.91561574080697,16564625,false,1,DormandPrince54Integrator,RANDOM,4.352406561739122E-8
15,8,7,2.9911047716287382,-33.140156156963,638541,-33.14021208435083,1586000,false,1,DormandPrince54Integrator,RANDOM,5.062655316681423E-6
3,2,7,0.859428969535383,-2.9576437859022735,483333,-2.9576437850512103,441167,false,1,DormandPrince54Integrator,RANDOM,1.2837359111677087E-8
7,4,3,1.5192651497943839,-7.607462615798071,248958,-7.607462624137162,365750,false,1,DormandPrince54Integrator,RANDOM,1.4879073501646657E-6
35,18,8,4.002082478126583,-90.44500937670071,867792,-90.44500903730528,3267792,false,1,DormandPrince54Integrator,RANDOM,2.9855744151303026E-7
71,36,4,3.723355977418633,-168.66845427020826,478417,-168.66842690753896,3657375,false,1,DormandPrince54Integrator,RANDOM,9.609607880900322E-7
3,2,6,2.8547467004455918,-7.58180958285619,588666,-7.581809572003575,465292,false,1,DormandPrince54Integrator,RANDOM,1.5420508990914928E-8
13,7,2,4.393459343359127,-22.609480218522386,242333,-22.609557822084184,686916,false,1,DormandPrince54Integrator,RANDOM,9.702870555652164E-6
3,2,8,0.5701083923079603,-3.437025185115992,511042,-3.437025185964964,498667,false,1,DormandPrince54Integrator,RANDOM,8.221922708156231E-7
