node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration,use_intervals,min_num_intervals,integrator,useRandomInitial
23,12,3,4.021313312999148,-33.06872155077361,2683250,-33.06872083672136,773709,true,8,DormandPrince54Integrator,false
47,24,9,3.966199436652797,-115.21414673355108,10623792,-115.21414707526779,4927500,false,8,DormandPrince54Integrator,false
7,4,7,3.64274853010431,-15.536540080136966,2388666,-15.536542199483144,938209,false,8,DormandPrince54Integrator,true
29,15,7,1.9444937228394747,-54.05781599502611,1781416,-54.0578160630122,1884167,true,8,DormandPrince54Integrator,true
9,5,8,3.333794242666743,-20.207295697508965,5105291,-20.207295569148254,1403667,true,8,DormandPrince54Integrator,false
11,6,7,1.6947642682091528,-10.626829949254704,1735916,-10.62682991650853,961792,false,8,DormandPrince54Integrator,false
3,2,9,2.330698585038601,-6.9986046379798665,1235584,-6.998604631169994,577000,false,8,DormandPrince54Integrator,true
155,78,4,2.4595423357238997,-312.703286351035,3202000,-312.7032751440207,6021291,false,8,DormandPrince54Integrator,false
121,61,9,4.794539459111701,-354.4830077154369,7153375,-354.4830226602602,13685084,false,8,DormandPrince54Integrator,true
513,257,6,4.242662523898146,-1563.76757885157,6779542,-1563.7675559719128,26048250,true,8,DormandPrince54Integrator,false
3,2,9,1.2432605628482878,-3.17444381206168,1430458,-3.174443823567963,477917,false,8,DormandPrince54Integrator,false
117,59,4,5.357185280981449,-253.5176901264751,1151791,-253.5176841598522,3054625,false,8,DormandPrince54Integrator,false
3,2,6,0.6365456658117131,-2.264928353175623,1816833,-2.264928353301944,218459,true,8,DormandPrince54Integrator,false
3,2,5,2.38440340214117,-5.980344867614942,1823083,-5.980344880824205,220625,true,8,DormandPrince54Integrator,false
41,21,3,5.4825000752584865,-90.45684548914417,518125,-90.45684644633752,1002250,false,8,DormandPrince54Integrator,true
3,2,4,0.8806637527693937,-3.4788619321950742,1145541,-3.478861931059998,137750,true,8,DormandPrince54Integrator,false
5,3,4,2.8859027391968683,-7.296910845212108,1199917,-7.296910870651781,238542,true,8,DormandPrince54Integrator,false
21,11,10,2.139384674733399,-45.928687553734015,2090958,-45.92868721684053,2558208,true,8,DormandPrince54Integrator,true
83,42,2,3.811095752579518,-156.01209484928896,592459,-156.01209391005943,1403541,true,8,DormandPrince54Integrator,true
5,3,8,3.0256693446486143,-11.807456081755209,1794292,-11.80745598641256,742083,true,8,DormandPrince54Integrator,true
3,2,3,3.24222815427604,-5.0568602103262315,379750,-5.056860204510524,160375,false,8,DormandPrince54Integrator,false
3,2,3,0.18741538540979769,0.08373563184632937,288750,0.08373563184223398,135500,false,8,DormandPrince54Integrator,false
5039,2520,7,5.4780074430537145,-20804.54234276811,25925125,-20804.542254019096,181279834,false,8,DormandPrince54Integrator,false
3,2,5,0.18027062049484055,-1.9025409909019118,411083,-1.9025409909026054,98083,false,8,DormandPrince54Integrator,false
7,4,3,3.0052073065375797,-13.66045908357735,676042,-13.660459061592302,176084,true,8,DormandPrince54Integrator,false
3,2,10,0.034183012031094584,0.15677312901800622,3013084,0.15677312901799845,325250,true,8,DormandPrince54Integrator,false
15,8,7,5.361288660233885,-32.687337169076436,1639833,-32.687337225261025,766708,true,8,DormandPrince54Integrator,true
3,2,8,0.6380608042363848,-4.292876322487309,795208,-4.2928763271222135,225875,true,8,DormandPrince54Integrator,true
3,2,6,0.036960979069223965,-0.8322398954670368,351291,-0.8322398954647529,112500,false,8,DormandPrince54Integrator,true
